Name,Age,Salary,Department,Join_Date
John,27,58889,Sales ,2021-13-18
Maya,,44093,Sales,
Sara123,,70k,Marketing,
Ahmed123,,70k,HR ,2021-13-20
Rakesh,48,70k,IT,2021-11-4
Sara,, 50000 ,Marketing ,
Kevin  ,, 50000 ,Sales,
Rakesh  ,,,Marketing,
Rakesh  ,twenty,,Sales,2022-2-28
Kevin,44,70k,Sales,6/19/2014
Ahmed ,22,,Marketing ,2021-8-13
John ,,unknown,IT,2020-8-10
Ahmed ,42,,Marketing,8/25/2013
Emily123,51,70k,Sales,12/22/2011
Ahmed123,,unknown,HR,5/1/2024
Sara  ,,unknown,Marketing,9/11/2013
John  ,,70k,HR,2022-3-17
David,, 50000 ,HR,6/16/2013
Rakesh123,, 50000 ,Finance,
Rakesh123,30,,IT,
Rakesh  ,,70k,IT,
Meena  ,,70k,Finance ,3/26/2022
Emily  ,,unknown,HR,
John ,51,unknown,HR,2021-13-10
Priya123,, 50000 ,Sales,
Sara ,,unknown,Marketing,5/5/2016
Priya ,,,IT,2020-02-30
John ,twenty,,HR ,1/21/2010
Maya123,,unknown,IT,
Sara  ,twenty,58890,HR,2021-6-3
Maya123,46,,Sales,2020-6-18
Maya,twenty,,Sales,
Emily123,49, 50000 ,Marketing ,2020-02-30
Sara123,,,Sales ,2023-7-3
Kevin ,twenty, 50000 ,Sales,11/28/2018
Ahmed  ,24,unknown,HR ,
Meena123,,,IT,
Rakesh,, 50000 ,IT,2021-13-23
Maya,,unknown,HR,2020-02-30
John123,49,66709,HR ,
Rakesh123,, 50000 ,Sales,2021-13-1
David  ,,unknown,Sales,2020-02-30
Kevin  ,,70k,HR,2021-13-4
Sara,,46439,HR ,2020-02-30
David  ,,,Sales,2020-02-30
Priya ,,,Finance,2020-02-30
Rakesh  ,35, 50000 ,Finance,2021-13-25
Ahmed  ,,unknown,Sales,
Ahmed ,,,Finance,
Ahmed,,70k,HR,
Meena,28, 50000 ,Sales,4/23/2013
David,24,unknown,Marketing ,
Maya,,,HR,2023-10-14
Sara  ,twenty,70k,Finance,4/16/2023
Maya ,50,unknown,Sales,12/11/2021
Kevin,twenty, 50000 ,Finance ,2021-13-16
Sara ,44,,Marketing ,2020-02-30
Ahmed123,,70383,Sales,10/4/2016
Sara ,45,,Sales,2024-2-27
Meena  ,twenty,,Marketing ,2021-9-15
Maya,twenty,40204,Sales,
Kevin,twenty,67730,Sales,
David  ,, 50000 ,Marketing ,2024-3-22
John ,,70k,HR,5/25/2019
Sara,,,Finance,2020-02-30
Rakesh ,,,HR ,
John ,, 50000 ,IT,12/26/2011
Meena123,twenty,,IT ,6/26/2013
Meena123,,unknown,Marketing ,2021-13-2
Sara123,, 50000 ,Finance ,
Emily  ,, 50000 ,Marketing ,2020-02-30
David ,23, 50000 ,HR ,2024-1-22
Rakesh,,66248,Finance ,2021-13-25
Kevin,50,,HR,
Emily123,50, 50000 ,Sales,
Meena,,45626,IT,
Kevin,twenty,70k,Finance ,
Rakesh,, 50000 ,Finance,
Meena,,70k,Finance ,2022-7-16
David,, 50000 ,Sales ,2020-02-30
Ahmed ,,,IT ,2023-3-4
Emily,, 50000 ,IT,2020-10-21
Emily,,70k,Finance,
Priya  ,twenty, 50000 ,Marketing ,12/16/2015
Emily  ,24,,Sales,
Priya  ,30,,Finance,
Kevin ,,59744,IT ,2021-13-26
Maya  ,,unknown,IT,2020-02-30
Ahmed123,, 50000 ,Finance ,2021-13-26
